,state,year,voteRate,demRatio
458,Kentucky,2012,57.6,0.3845722760619509
459,Louisiana,2012,64.7,0.4125317438588602
460,Maine,2012,67.2,0.5785992139357711
461,Maryland,2012,58.7,0.6332172578690598
462,Massachusetts,2012,65.4,0.6178568074906001
463,Michigan,2012,64.5,0.5480053207117788
464,Minnesota,2012,70.5,0.5394122646169819
465,Mississippi,2012,73.3,0.4419810080121222
466,Missouri,2012,62.3,0.4522133324662002
467,Montana,2012,64.5,0.4296576813611854
468,Nebraska,2012,58.2,0.3887060973177463
469,Nevada,2012,51.4,0.5340754216334653
470,New Hampshire,2012,66.9,0.528337519782581
471,New Jersey,2012,54.5,0.5895196555058577
472,New Mexico,2012,56.5,0.5529520464690869
473,New York,2012,50.9,0.6604269487027739
474,North Carolina,2012,63.7,0.48965965096995
475,North Dakota,2012,62.2,0.3988879171108827
476,Ohio,2012,61.7,0.5151405676924949
477,Oklahoma,2012,51.0,0.3322768025698344
478,Oregon,2012,63.3,0.5627116717874738
479,Pennsylvania,2012,59.1,0.5273193400189182
480,South Carolina,2012,62.2,0.4469174529543462
481,South Dakota,2012,60.1,0.4078150086180476
482,Tennessee,2012,53.7,0.3964892847370595
483,Texas,2012,46.4,0.4199210278489361
484,Vermont,2012,62.1,0.6824725882639062
485,Virginia,2012,62.0,0.5196737668876448
486,Washington,2012,60.7,0.5762829827062185
487,West Virginia,2012,47.5,0.3632570236795726
488,Wisconsin,2012,71.9,0.5346342998287241
489,Wyoming,2012,57.8,0.2883936598847857
490,Alabama,2016,56.3712,0.3562585640603926
491,Alaska,2016,59.4061,0.4161434528893193
492,Arizona,2016,53.288,0.4810997659896054
493,Arkansas,2016,56.0106,0.3571486231022953
494,California,2016,48.2247,0.6612822054272989
495,Colorado,2016,63.8187,0.5268333337268244
496,Connecticut,2016,57.489,0.5714154751726364
497,Delaware,2016,57.1709,0.5599862144368122
498,District of Columbia,2016,68.7232,0.9569518834185408
499,Florida,2016,52.9428,0.4938116452722452
500,Georgia,2016,55.6772,0.4733882740069678
501,Hawaii,2016,43.2748,0.6744133745053545
502,Idaho,2016,58.2953,0.3168982331919441
503,Illinois,2016,58.8256,0.5902005139071148
504,Indiana,2016,56.0321,0.3988269047549193
505,Iowa,2016,60.7381,0.4493645215487965
506,Kansas,2016,58.0303,0.3888852965739333
507,Kentucky,2016,55.2576,0.3432937098249013
508,Louisiana,2016,59.6884,0.3982832276219221
509,Maine,2016,71.3014,0.5159679112916253
510,Maryland,2016,59.1958,0.6401624968476939
511,Massachusetts,2016,61.6879,0.646512786896295
512,Michigan,2016,61.814,0.4988233178303845
513,Minnesota,2016,65.3494,0.5083169370718048
514,Mississippi,2016,66.7048,0.4091015267593994
515,Missouri,2016,62.8172,0.4018143900443393
516,Montana,2016,65.2467,0.3889033568297556
517,Nebraska,2016,63.4282,0.3645232588682243
518,Nevada,2016,53.4962,0.512937094199852
519,New Hampshire,2016,66.8524,0.501970284423807
520,New Jersey,2016,53.41,0.5728419014290129
521,New Mexico,2016,49.4455,0.5465079493432411
522,New York,2016,50.7469,0.6341150649977537
523,North Carolina,2016,61.5973,0.4809625419628128
524,North Dakota,2016,62.1371,0.3019075710348025
525,Ohio,2016,61.3801,0.4573231542286409
526,Oklahoma,2016,53.186,0.3069526276167186
527,Oregon,2016,60.9727,0.5615583894505436
528,Pennsylvania,2016,60.2019,0.4962446419250984
529,South Carolina,2016,59.8218,0.4253974363947598
530,South Dakota,2016,57.3368,0.3402814192056875
531,Tennessee,2016,52.0201,0.3637565695473801
532,Texas,2016,47.7204,0.4528677442202801
533,Vermont,2016,61.0498,0.6518642632382037
534,Virginia,2016,62.6353,0.528263762771547
535,Washington,2016,60.4808,0.5878693120006476
536,West Virginia,2016,50.4223,0.2783894774870422
537,Wisconsin,2016,68.7038,0.4959201096197028
538,Wyoming,2016,63.5263,0.2429468037084621
539,Alabama,2020,59.6,0.3708862516664528
540,Alaska,2020,62.4,0.4473815127615069
541,Arizona,2020,64.7,0.5015683167912931
542,Arkansas,2020,51.9,0.3578756672201685
543,California,2020,55.7,0.6490891136066756
544,Colorado,2020,62.7,0.5693831949230015
545,Connecticut,2020,60.5,0.6019504908807785
546,Delaware,2020,63.8,0.5962674416498447
547,District of Columbia,2020,77.8,0.9446695384761944
548,Florida,2020,56.4,0.4830524533785844
549,Georgia,2020,60.9,0.5011932966290864
550,Hawaii,2020,59.7,0.6503266464651488
551,Idaho,2020,61.6,0.3412285707492213
552,Illinois,2020,62.7,0.5865904373280693
553,Indiana,2020,58.9,0.4180495199255704
554,Iowa,2020,68.5,0.4581673691536295
555,Kansas,2020,60.1,0.4250657174436865
556,Kentucky,2020,65.3,0.3679989709973703
557,Louisiana,2020,59.4,0.4053555954370895
558,Maine,2020,70.5,0.5467040458200397
559,Maryland,2020,68.7,0.6702904704709234
560,Massachusetts,2020,58.9,0.6711554954014815
561,Michigan,2020,64.1,0.5141355934440947
562,Minnesota,2020,74.3,0.5363951364856667
563,Mississippi,2020,69.2,0.4161501417261114
564,Missouri,2020,64.5,0.4216417935559855
565,Montana,2020,72.6,0.4160281990795189
566,Nebraska,2020,62.2,0.4021594775339827
567,Nevada,2020,56.3,0.512231173400438
568,New Hampshire,2020,72.4,0.5374834772159505
569,New Jersey,2020,68.2,0.5807128358679484
570,New Mexico,2020,58.3,0.5551849015171975
571,New York,2020,57.0,0.6171683489301224
572,North Carolina,2020,58.9,0.4931581746681328
573,North Dakota,2020,65.3,0.3278259157710337
574,Ohio,2020,68.5,0.4592330235229728
575,Oklahoma,2020,55.5,0.3305996050309349
576,Oregon,2020,71.3,0.5830715698544173
577,Pennsylvania,2020,68.2,0.5058920525934906
578,South Carolina,2020,61.3,0.440733912504179
579,South Dakota,2020,57.7,0.365652201383185
580,Tennessee,2020,63.3,0.3817222962793364
581,Texas,2020,55.3,0.4716927876322047
582,Vermont,2020,67.5,0.6829918655280656
583,Virginia,2020,66.0,0.551546869993999
584,Washington,2020,64.3,0.599255031847907
585,West Virginia,2020,55.3,0.3020146768607797
586,Wisconsin,2020,71.7,0.5031906326653399
587,Wyoming,2020,64.1,0.275195656244149
