,candidate,state,spending,year
29,"Biden, Joseph R Jr",North Dakota,2969.5,2020
30,"Biden, Joseph R Jr",Nebraska,19182276.14,2020
31,"Biden, Joseph R Jr",New Hampshire,1441845.51,2020
32,"Biden, Joseph R Jr",New Jersey,1998474.14,2020
33,"Biden, Joseph R Jr",New Mexico,12625.88,2020
34,"Biden, Joseph R Jr",Nevada,2049630.42,2020
35,"Biden, Joseph R Jr",New York,80594168.68,2020
36,"Biden, Joseph R Jr",Ohio,778000.66,2020
37,"Biden, Joseph R Jr",Oklahoma,663997.45,2020
38,"Biden, Joseph R Jr",Oregon,463166.73,2020
39,"Biden, Joseph R Jr",Pennsylvania,45826922.24,2020
41,"Biden, Joseph R Jr",Rhode Island,2090523.53,2020
42,"Biden, Joseph R Jr",South Carolina,1002231.01,2020
43,"Biden, Joseph R Jr",South Dakota,2557.33,2020
44,"Biden, Joseph R Jr",Tennessee,1038701.46,2020
45,"Biden, Joseph R Jr",Texas,26176682.5,2020
46,"Biden, Joseph R Jr",Utah,274744.33,2020
47,"Biden, Joseph R Jr",Virginia,26775673.4,2020
48,"Biden, Joseph R Jr",Vermont,3704.4399999999996,2020
49,"Biden, Joseph R Jr",Washington,3130644.34,2020
50,"Biden, Joseph R Jr",Wisconsin,1650488.79,2020
51,"Biden, Joseph R Jr",West Virginia,2500.0,2020
52,"Biden, Joseph R Jr",Wyoming,2500.0,2020
54,"Trump, Donald J.",Alaska,594.67,2020
55,"Trump, Donald J.",Alabama,147480.69,2020
56,"Trump, Donald J.",Arkansas,34715.47,2020
57,"Trump, Donald J.",Arizona,2195320.45,2020
58,"Trump, Donald J.",California,10973015.67,2020
59,"Trump, Donald J.",Colorado,226240.09,2020
60,"Trump, Donald J.",Connecticut,642718.96,2020
61,"Trump, Donald J.",District of Columbia,29514693.56,2020
62,"Trump, Donald J.",Delaware,985946.13,2020
63,"Trump, Donald J.",Florida,14043506.3,2020
64,"Trump, Donald J.",Georgia,4369447.65,2020
65,"Trump, Donald J.",Hawaii,10000.0,2020
66,"Trump, Donald J.",Iowa,1324572.38,2020
67,"Trump, Donald J.",Idaho,104137.84999999999,2020
68,"Trump, Donald J.",Illinois,2552951.31,2020
69,"Trump, Donald J.",Indiana,457027.13,2020
70,"Trump, Donald J.",Kansas,86660.31,2020
71,"Trump, Donald J.",Kentucky,247978.62,2020
72,"Trump, Donald J.",Louisiana,16797493.67,2020
73,"Trump, Donald J.",Massachusetts,9229807.22,2020
74,"Trump, Donald J.",Maryland,2121216.23,2020
75,"Trump, Donald J.",Maine,26738.76,2020
76,"Trump, Donald J.",Michigan,730124.42,2020
77,"Trump, Donald J.",Minnesota,2710405.18,2020
78,"Trump, Donald J.",Missouri,1236800.68,2020
80,"Trump, Donald J.",Mississippi,305215.42,2020
81,"Trump, Donald J.",Montana,405036.77999999997,2020
82,"Trump, Donald J.",North Carolina,1004485.67,2020
83,"Trump, Donald J.",North Dakota,80168.41,2020
84,"Trump, Donald J.",Nebraska,55700.03,2020
85,"Trump, Donald J.",New Hampshire,12463179.25,2020
86,"Trump, Donald J.",New Jersey,14040226.97,2020
87,"Trump, Donald J.",New Mexico,25668.57,2020
88,"Trump, Donald J.",Nevada,928312.35,2020
89,"Trump, Donald J.",New York,47304142.05,2020
90,"Trump, Donald J.",Ohio,3582451.12,2020
91,"Trump, Donald J.",Oklahoma,708437.8099999999,2020
92,"Trump, Donald J.",Oregon,10902.78,2020
93,"Trump, Donald J.",Pennsylvania,9090866.88,2020
94,"Trump, Donald J.",Rhode Island,16443.84,2020
95,"Trump, Donald J.",South Carolina,1753872.06,2020
96,"Trump, Donald J.",South Dakota,212.59,2020
97,"Trump, Donald J.",Tennessee,2203093.29,2020
98,"Trump, Donald J.",Texas,22257814.33,2020
99,"Trump, Donald J.",Utah,497585.52,2020
100,"Trump, Donald J.",Virginia,555712208.55,2020
101,"Trump, Donald J.",Vermont,2300.0,2020
102,"Trump, Donald J.",Washington,990269.5,2020
103,"Trump, Donald J.",Wisconsin,2937454.76,2020
104,"Trump, Donald J.",West Virginia,154823.03999999998,2020
105,"Trump, Donald J.",Wyoming,29361.84,2020
