,year,state,demRatio
1474,1992,Minnesota,0.5772134022448636
1487,1992,Mississippi,0.45071510532615805
1492,1992,Missouri,0.5650696610031356
1496,1992,Montana,0.517240571248753
1502,1992,Nebraska,0.3868826956766844
1506,1992,Nevada,0.5182477751961773
1515,1992,New Hampshire,0.507965513554495
1521,1992,New Jersey,0.5142031835209345
1534,1992,New Mexico,0.5514215676975641
1544,1992,New York,0.6211082540422493
1556,1992,North Carolina,0.49541535720813284
1563,1992,North Dakota,0.42125295227091225
1566,1992,Ohio,0.5116816334695452
1572,1992,Oklahoma,0.4437788169738132
1575,1992,Oregon,0.5663389151659282
1582,1992,Pennsylvania,0.5554852946101531
1587,1992,Rhode Island,0.6184372281820818
1596,1992,South Carolina,0.4764315457275972
1602,1992,South Dakota,0.4773896623166135
1606,1992,Tennessee,0.5259803664707596
1612,1992,Texas,0.47757836834114503
1618,1992,Utah,0.3624642088601967
1629,1992,Vermont,0.6025420135850691
1641,1992,Virginia,0.4744498706585656
1646,1992,Washington,0.5759170107251123
1656,1992,West Virginia,0.5776883808194074
1660,1992,Wisconsin,0.5279450850211544
1670,1992,Wyoming,0.46207976570603426
1675,1996,Alabama,0.46266128846311055
1681,1996,Alaska,0.3957149749416618
1688,1996,Arizona,0.5122377115185426
1694,1996,Arkansas,0.5935282486475548
1707,1996,California,0.5721626523096894
1717,1996,Colorado,0.4924079236977256
1729,1996,Connecticut,0.6036350688231273
1737,1996,Delaware,0.5862365663256995
1743,1996,District of Columbia,0.9012354820886426
1751,1996,Florida,0.5315496119510641
1757,1996,Georgia,0.4936773080144583
1760,1996,Hawaii,0.6427615180824882
1768,1996,Idaho,0.3920097242428407
1773,1996,Illinois,0.5960509218545778
1781,1996,Indiana,0.46851593644954354
1785,1996,Iowa,0.5573338892373273
1795,1996,Kansas,0.39927634452015853
1800,1996,Kentucky,0.5052905118434284
1807,1996,Louisiana,0.5656083827159214
1815,1996,Maine,0.6266212041685532
1823,1996,Maryland,0.5863842348627238
1830,1996,Massachusetts,0.6863782540541509
1838,1996,Michigan,0.5732441336669677
1846,1996,Minnesota,0.5938068927137576
1859,1996,Mississippi,0.472527762454129
1864,1996,Missouri,0.5354703747642815
1872,1996,Montana,0.48312589549275836
1877,1996,Nebraska,0.39445177499216966
1882,1996,Nevada,0.5058653135524703
1890,1996,New Hampshire,0.5561163171068921
1895,1996,New Jersey,0.599667932033127
1898,1996,New Mexico,0.5402413056103159
1905,1996,New York,0.677320293812358
1919,1996,North Carolina,0.4747001333026536
1925,1996,North Dakota,0.4608868099415835
1930,1996,Ohio,0.5359694918172054
1940,1996,Oklahoma,0.4559939089329422
1943,1996,Oregon,0.5469311571965823
1952,1996,Pennsylvania,0.5516120536083254
1958,1996,Rhode Island,0.690042133874984
