,year,state,manuRatio,voteRate,demRatio,swingIndex
123,2004,Indiana,0.011586989256154702,57.3,0.3957652375034154,0.1042347624965845
124,2008,Indiana,0.010185330714424803,58.8,0.5052195344537809,0.0052195344537808
125,2012,Indiana,0.008036237008775328,57.7,0.447996254026727,0.052003745973273
126,2016,Indiana,0.00819362572646225,56.0321,0.3988269047549193,0.1011730952450807
127,2020,Indiana,0.008008384152352931,58.9,0.4180495199255704,0.0819504800744296
128,1992,Kansas,0.005204781679121414,71.9,0.4645894441238242,0.0354105558761758
129,1996,Kansas,0.005132879166289993,62.0,0.3992763445201585,0.1007236554798415
130,2000,Kansas,0.004901058582211174,60.2,0.3908309253647191,0.1091690746352809
131,2004,Kansas,0.004029564086817103,59.7,0.3713290121891777,0.1286709878108223
132,2008,Kansas,0.00396687685920213,59.8,0.4238772418109056,0.0761227581890944
133,2012,Kansas,0.003564268211182892,58.9,0.3888667325474694,0.1111332674525306
134,2016,Kansas,0.25616942909760587,58.0303,0.3888852965739333,0.1111147034260667
135,2020,Kansas,0.208649468892261,60.1,0.4250657174436865,0.0749342825563135
136,1992,Kentucky,0.5425373134328358,57.6,0.5186877769476606,0.0186877769476605
137,1996,Kentucky,0.48735224586288417,52.8,0.5052905118434284,0.0052905118434284
138,2000,Kentucky,0.441280353200883,54.9,0.4227238473432342,0.0772761526567658
139,2004,Kentucky,0.32362694300518136,63.4,0.3999238008452607,0.1000761991547393
140,2008,Kentucky,0.28435039370078735,61.4,0.4176657241229539,0.0823342758770461
141,2012,Kentucky,0.24009615384615385,57.6,0.3845722760619509,0.1154277239380491
142,2016,Kentucky,0.22734883720930232,55.2576,0.3432937098249013,0.1567062901750986
143,2020,Kentucky,0.21861510791366906,65.3,0.3679989709973703,0.1320010290026297
144,1992,Louisiana,0.1604221635883905,68.6,0.5266513786041565,0.0266513786041564
145,1996,Louisiana,0.13634204275534442,61.8,0.5656083827159214,0.0656083827159214
146,2000,Louisiana,0.12725274725274724,64.6,0.4606075403365277,0.0393924596634723
147,2004,Louisiana,0.08830769230769231,63.1,0.4266905873075651,0.0733094126924349
148,2008,Louisiana,0.0751271905031091,68.0,0.4054282583841463,0.0945717416158536
149,2012,Louisiana,0.057664974619289336,64.7,0.4125317438588602,0.0874682561411397
150,2016,Louisiana,0.05014150943396226,59.6884,0.3982832276219221,0.1017167723780779
151,2020,Louisiana,0.04686813170818329,59.4,0.4053555954370895,0.0946444045629105
152,1992,Massachusetts,0.030830418961177525,65.8,0.6209222867120157,0.1209222867120156
153,1996,Massachusetts,0.026816359220320073,56.3,0.6863782540541509,0.1863782540541508
154,2000,Massachusetts,0.024957914407944523,60.1,0.6478934376063381,0.1478934376063381
155,2004,Massachusetts,0.019280466314876347,63.7,0.6274285551299189,0.1274285551299189
156,2008,Massachusetts,0.016338661871803082,61.3,0.6319707821335295,0.1319707821335295
157,2012,Massachusetts,0.012748909224994815,65.4,0.6178568074906001,0.1178568074906001
158,2016,Massachusetts,0.011313008222419086,61.6879,0.646512786896295,0.146512786896295
159,2020,Massachusetts,0.011376099133488674,58.9,0.6711554954014815,0.1711554954014814
160,1992,Maryland,0.1485850055644767,66.4,0.5829990003921766,0.0829990003921765
161,1996,Maryland,0.15570423698790947,54.4,0.5863842348627238,0.0863842348627238
162,2000,Maryland,0.15351190680940513,57.1,0.584322989424543,0.0843229894245429
163,2004,Maryland,0.7676923076923077,59.7,0.565655842075012,0.0656558420750119
164,2008,Maryland,0.599290780141844,61.9,0.6293008729288553,0.1293008729288552
165,2012,Maryland,0.48402971216341684,58.7,0.6332172578690598,0.1332172578690598
166,2016,Maryland,0.5134353741496598,59.1958,0.6401624968476939,0.1401624968476938
167,2020,Maryland,0.478902627511592,68.7,0.6702904704709234,0.1702904704709233
168,1992,Maine,0.2375960866526904,74.1,0.5605587286454831,0.060558728645483
169,1996,Maine,0.24683213585891572,67.7,0.6266212041685532,0.1266212041685531
170,2000,Maine,0.24556726596404216,69.2,0.5274784154100042,0.0274784154100041
171,2004,Maine,0.20642424242424243,72.0,0.545830164103086,0.045830164103086
172,2008,Maine,0.20148456057007127,70.2,0.588295249834076,0.088295249834076
173,2012,Maine,0.16936383928571427,67.2,0.5785992139357711,0.078599213935771
174,2016,Maine,0.16689401888772298,71.3014,0.5159679112916253,0.0159679112916253
175,2020,Maine,0.15997023809523808,70.5,0.5467040458200397,0.0467040458200397
176,1992,Michigan,0.1589378238341969,65.9,0.5461515964697112,0.0461515964697112
177,1996,Michigan,0.14925314465408804,58.1,0.5732441336669677,0.0732441336669676
178,2000,Michigan,0.13263045032165832,60.1,0.5263460648173409,0.0263460648173409
179,2004,Michigan,0.10607287449392712,64.7,0.5172584446796521,0.017258444679652
180,2008,Michigan,0.09740284074782178,65.0,0.5837130157615452,0.0837130157615452
181,2012,Michigan,0.08176211796642271,64.5,0.5480053207117788,0.0480053207117787
182,2016,Michigan,0.08525061560966396,61.814,0.4988233178303845,0.0011766821696154
183,2020,Michigan,0.08638326749504875,64.1,0.5141355934440947,0.0141355934440946
184,1992,Minnesota,0.07135786073572478,74.2,0.5772134022448636,0.0772134022448636
185,1996,Minnesota,0.07104510966709154,66.9,0.5938068927137576,0.0938068927137576
186,2000,Minnesota,0.06976183498988407,67.8,0.5128641197581132,0.0128641197581131
187,2004,Minnesota,0.051694991455002955,76.7,0.5176091061066895,0.0176091061066895
188,2008,Minnesota,0.04710785623717113,70.8,0.5522937499539273,0.0522937499539273
